symbol,net_pnl,avg_return,win_rate,trades
GBPUSD=X,1050.0,1.75,1.0,6
EURUSD=X,1050.0,1.75,1.0,6
BA,450.0,0.75,0.6666666666666666,6
GC=F,450.0,0.75,0.6666666666666666,6
GLD,450.0,0.75,0.6666666666666666,6
MSFT,450.0,0.75,0.6666666666666666,6
JPM,450.0,0.75,0.6666666666666666,6
HD,450.0,0.75,0.6666666666666666,6
XOM,450.0,0.75,0.6666666666666666,6
AMD,150.0,0.25,0.3333333333333333,6
AUDUSD=X,150.0,0.25,0.3333333333333333,6
META,150.0,0.25,0.3333333333333333,6
AAPL,0.0,0.0,0.0,6
NVDA,0.0,0.0,0.0,6
AMZN,0.0,0.0,0.0,6
NFLX,-450.0,-0.375,0.16666666666666666,12
USDJPY=X,-450.0,-0.375,0.3333333333333333,12
GOOGL,-750.0,-0.625,0.16666666666666666,12
CL=F,-750.0,-0.625,0.3333333333333333,12
ES=F,-750.0,-0.625,0.16666666666666666,12
TSLA,-750.0,-0.625,0.16666666666666666,12
SPY,-750.0,-0.625,0.16666666666666666,12
MES=F,-750.0,-0.625,0.16666666666666666,12
QQQ,-900.0,-0.75,0.0,12
SI=F,-900.0,-0.75,0.0,12
UNH,-1350.0,-1.125,0.16666666666666666,12
