interval,orb_duration,tp_multiplier,risk_per_trade,symbols_tested,pct_positive,avg_return,median_return,avg_win_rate,avg_profit_factor
5m,5,0.5,0.02,12,0.8333333333333334,5.149529112551941,3.078504229614491,0.7937250168913145,2.387826566285798
5m,5,0.5,0.01,12,0.9166666666666666,4.974249057559261,3.061594828369207,0.7937250168913145,2.391501516852761
5m,5,1.0,0.01,12,0.8333333333333334,3.0872750115154672,2.0165741943360627,0.5881638434910448,1.4359137264405801
5m,5,1.0,0.02,12,0.75,2.61285482029234,1.8671094930428629,0.5881638434910448,1.4224330275015984
5m,15,2.0,0.01,12,0.5833333333333334,1.6726012836784758,1.023432249678026,0.41459915849457946,1.432443449941494
5m,15,1.0,0.01,12,0.5833333333333334,1.490237436386007,1.6044809969777634,0.5549001387972244,1.2755335647150712
5m,15,0.5,0.01,12,0.6666666666666666,1.3906030385091617,1.8678975539551446,0.7187406388914183,1.3773477533581735
5m,5,2.0,0.01,12,0.6666666666666666,1.155330931377453,1.798680844490418,0.40322536924656954,1.3158066296107596
15m,15,0.5,0.01,12,0.6666666666666666,0.9797979582954365,2.008517799682677,0.7240794853349918,1.348410411549268
5m,15,1.0,0.02,12,0.6666666666666666,0.5014540283049631,1.6044809969777634,0.5549001387972244,1.2651976042866855
5m,15,0.5,0.02,12,0.6666666666666666,0.4809638672445102,1.8678975539551446,0.7187406388914183,1.354842215381284
15m,15,0.5,0.02,12,0.6666666666666666,0.25984016651686487,2.178427099365308,0.7240794853349918,1.318069223090679
5m,5,2.0,0.02,12,0.5833333333333334,0.24116081300995726,1.798680844490418,0.40322536924656954,1.3087503609163915
5m,15,2.0,0.02,12,0.5833333333333334,-0.5015621955085156,1.023432249678026,0.41459915849457946,1.414267469412673
15m,15,1.0,0.01,12,0.5833333333333334,-0.8918237335611563,0.8089556884767626,0.5336749516280058,1.1863784842036884
15m,15,2.0,0.01,12,0.5833333333333334,-1.2257455750887523,0.7104756642134998,0.38420501221312015,1.3478673508368864
15m,15,1.0,0.02,12,0.5833333333333334,-2.728991092610624,0.8089556884767626,0.5336749516280058,1.1695407835879787
15m,15,2.0,0.02,12,0.5833333333333334,-3.8275466749015585,0.7104756642134998,0.38420501221312015,1.3285679733342228
